id,projeto,campanha,comunidade,comunidade_id,id_mensagem,texto_preview,tipo,data_evento,remetente_nome,remetente_id,responsavel_nome,created_at
2,Testes do Sendflow,#1 Teste,#1 Teste,120363409597036474@g.us,3EB0FD218E67D692149D7C9461AFF0570CD81669,Opa minha joia,mensagem simples,2026-04-17 22:25:25.209+00,Central de Engajamento,28806983217244@lid,Central,2026-04-18 01:37:29.964716+00
3,Testes do Sendflow,#1 Teste,#1 Teste,120363409597036474@g.us,3EB089261BBBC062AE7387FDB82C4938EBB32618,📊 ENQUETE: Vamos ver (Opções: Eita | Ok),enquete,2026-04-17 22:39:35.773+00,Central de Engajamento,28806983217244@lid,Central,2026-04-18 01:39:35.907327+00
4,Testes do Sendflow,#1 Teste,#1 Teste,120363409597036474@g.us,3EB0E91AE668C35F3477E31F0664AA1AD6C5E76D,Mais um teste,mensagem simples,2026-04-19 11:03:45.289+00,Central de Engajamento,28806983217244@lid,Central,2026-04-19 14:05:10.848911+00
5,Testes do Sendflow,#1 Teste,#1 Teste,120363409597036474@g.us,3EB04BA0B3B03551D9BF7C4746EB7DB61047281B,Oia eu de novo,mensagem simples,2026-04-19 11:06:19.559+00,Central de Engajamento,28806983217244@lid,Central,2026-04-19 14:06:20.019605+00
6,Testes do Sendflow,#1 Teste,#1 Teste,120363409597036474@g.us,3EB041C3BDB65238A8E5839C93E20197B17498C3,Vamos testar,mensagem simples,2026-04-20 01:48:20.059+00,Central de Engajamento,28806983217244@lid,Central de Engajamento,2026-04-20 04:48:20.561297+00
7,Escalada,Conexão Escalada - Nível 2,Conexão Escalada - Nível 2,120363407337623196@g.us,ACF778BD2C8B323FB2948801F715A092,"Bom dia, Camila! Vou te enviar uma mensagem e podemos solucionar isso!!",mensagem simples,2026-04-20 10:27:18.163+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 13:27:18.849424+00
8,Escalada,Conexão Escalada - Nível 2,Conexão Escalada - Nível 2,120363407337623196@g.us,ACA6818EDA7262CF5E4A0AEB205A9523,"Que massa, Ramon! Realmente esses momentos nos ajudam a se conectar mais. Faz toda a diferença!",mensagem simples,2026-04-20 10:28:16.673+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 13:28:17.571002+00
9,Escalada,Conexão Escalada - Nível 2,Conexão Escalada - Nível 2,120363407337623196@g.us,3EB0E19D530AD9E9792E5B,"Já começamos a semana por aqui a todo vapor e uma segunda-feira sem plano é só mais um dia no calendário. 🗓️ 

Muita gente abre a plataforma e trava sem saber como mudar o jogo da rotina, é conhecer e o primeiro passo para mudar isso, é conhecendo métodos, hábidos...

*Missão check-in (+10 pontos):*
1️⃣ Acesse o post: https://escaladaedu.circle.so/c/novidades/ultima-semana-do-mes-flash

2️⃣ Comente qual a sua estratégia de organização, hábito ou método que você utiliza (vale tudo, cronograma, papel...).

3️⃣ Poste o seu comentário e já estará valendo!

🛑 Regra: Válido até 22/04!

Não deixa pra amanhã e conta pra gente aqui: qual dica de organização você descobriu hoje? 👇",mensagem simples,2026-04-20 10:31:18.52+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 13:31:19.145935+00
10,Escalada,Rota de Crescimento - Nível 3,Rota de Crescimento - Nível 3,120363423283283910@g.us,3EB0F6FF9379FEE1995A0A,"*Nessa última semana do Mês Flash, essa é a estratégia que vai colocar você no Top 20!* 🏆

Esses mês vocês descobriram que a constância não é sobre dar um salto impossível, é sobre ser *1% melhor a cada dia*. E a nossa amiga Camila trouxe essa reflexão massa! 

*Sua missão de hoje (+15 pontos):*

1️⃣ Entre na plataforma e identifique uma trilha ou desafio que você estava enrolando para começar.

2️⃣ Realize a atividade válida (um vídeo, um quiz…).

3️⃣ Vá ao post e comente: *""Hoje o meu 1% foi [nome da atividade que você fez]""*.

🛑 *Regra:* Válido até 22/04.

*Conta pra gente aqui, qual foi o tema do seu 1% hoje?* 👇",mensagem simples,2026-04-20 10:39:20.687+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 13:39:23.385893+00
11,Escalada,Conselho Escalada - Nível 5,Conselho Escalada - Nível 5,120363425561018159@g.us,3EB06444BD37ABA768687A,"Bom dia, grandes mentes! 🚀

O que você aprendeu aqui é o combustível, e o Escalada pode ser a sua pista de decolagem. Sua jornada de impacto está só começando! 

🎯 *Missão da semana (+15 pontos):*

1️⃣ Poste na plataforma: O que você quer ser?

2️⃣ Use a hashtag #metafutura. No texto, conte qual é o seu objetivo e qual é o seu plano de ação para conquistar essa meta.

3️⃣ Vá ao post de um colega, leia a meta dele e comente como esse objetivo te inspira!

🛑 Regra: Para pontuar, adicione #metafutura. Válido até 22/04.

Postou o seu objetivo? Manda o link aqui no grupo e diz pra gente: qual é a sua meta principal? 👇",mensagem simples,2026-04-20 10:59:16.031+00,Central Escalada,194674308468846@lid,Central Escalada,2026-04-20 13:59:16.457602+00
